10205;Raiffeisen Rhein-Ahr-Eifel Handelsgesellschaft mbH;Raiffeisen;Bahnhofstr.;29;54634;Bitburg;49.9645;6.52544
10206;ROTH Station;ROTH-ENERGIE;Stockstadter Weg;2-4;63741;Aschaffenburg;49.9643347;9.0980389
10207;JET HAIBACH INDUSTRIESTR. 1;JET;INDUSTRIESTR. 1;;63808;HAIBACH;49.964;9.18976
10208;JET HEINERSREUTH BAYREUTHERSTRASSE 32;JET;BAYREUTHERSTRASSE 32;;95500;HEINERSREUTH;49.963644;11.53631
10209;OIL! Tankstelle Mainz-Laubenheim;OIL!;Oppenheimer Straße 59;;55130;Mainz-Laubenheim;49.9636;8.31454
10210;TOTAL MAINZ-HECHTSHEIM;TOTAL;DEKAN-LAIST-STR;56;55129;MAINZ-HECHTSHEIM;49.9635;8.25568
10211;DAXWEILER, A61 HUNSRUECK OST;Shell;A61 HUNSRÜCK OST;"";55442;DAXWEILER;49.96316;7.768813
10212;BAYREUTH, CHRISTIAN-RITTER-VON-LANGHEINRICH-STR.;Shell;CHRISTIAN-RITTER-VON-LANGHEINRICH-STR. 2;"";95448;BAYREUTH;49.963065;11.610809
10213;Calpam Tankstelle;Calpam;Saelzer Weg;19;63743;Aschaffenburg;49.962631225586;9.1693811416626
10214;Esso Tankstelle;ESSO;PAPPELWEG 12; ;63741;ASCHAFFENBURG;49.962103;9.127375
10215;Aral Tankstelle;ARAL;Wuerzburger Straße;190;63743;Aschaffenburg;49.9614639;9.177972
10216;RUESSELSHEIM, ASTHEIMER STR;Shell;ASTHEIMER STR. 39;"";65428;Ruesselsheim;49.961363;8.445595
10217;REWE Tankstelle;REWE;Kurt-Schumacher-Ring;4;63329;Egelsbach;49.96088;8.67182
10218;Raimund RST Bth;;Riedingerstraße;11;95448;Bayreuth;49.960694;11.597104
10219;Supermarkt-Tankstelle STOCKSTADT TAUNUSSTR. 1;Supermarkt-Tankstelle;TAUNUSSTR. 1;;63811;STOCKSTADT;49.9604;9.0812
10220;Supermarkt-Tankstelle am real,- Markt BAYREUTH RIEDINGER STR. 21;Supermarkt-Tankstelle am real,- Markt;RIEDINGER STR. 21;;95448;BAYREUTH;49.9598;11.6022
10221;MAINZ-LERCHENBERG - HINDEMITHSTR. 6;Agip;Hindemithstr.;4 a;55127;Mainz-Lerchenberg;49.95925;8.20013
10222;BayWa Tankstelle Bayreuth;BayWa;Weiherstr.;2;95448;Bayreuth;49.95759;11.5986
10223;Aral Tankstelle;ARAL;Aschaffenburger Straße;3;64832;Babenhausen;49.957428;8.958051
10224;Rifat Yilmaz;AVIA;Großostheimer Str.;183;63741;Aschaffenburg;49.9574;9.12159
10225;Walther-Tankstelle Bayreuth;Walther Automatenstation;Grüner Baum 5 1 /2;"";95448;Bayreuth;49.957321;11.589004
10226;Martin Burg;ED;Rißbacher Straße;"";56841;Traben-Trarbach;49.957115;7.105142
